epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,52.798,1.71624,1.76566,0.99894,0.31797,0.23387,0.18544,0.10017,1.60767,1.25181,0.94599,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,92.2762,1.67316,1.29592,0.94862,0.34546,0.28047,0.23116,0.12696,1.56926,1.21451,0.93422,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,127.975,1.71738,1.29859,0.95269,0.34654,0.25494,0.2154,0.11631,1.6034,1.26627,0.93912,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,161.885,1.70585,1.27871,0.95353,0.33733,0.27836,0.23088,0.12659,1.57725,1.21252,0.93358,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,195.718,1.6648,1.23254,0.94575,0.35081,0.27887,0.23396,0.1292,1.57501,1.19085,0.92969,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,229.641,1.64154,1.19455,0.93665,0.39902,0.2874,0.25722,0.14479,1.52913,1.15094,0.92059,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,263.395,1.61411,1.16846,0.93157,0.38749,0.30122,0.26625,0.14838,1.50668,1.1228,0.91499,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,297.641,1.59081,1.14233,0.92562,0.41312,0.31649,0.2868,0.15565,1.51302,1.10977,0.91741,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,331.495,1.56786,1.12342,0.92157,0.41205,0.31647,0.2894,0.16146,1.47515,1.08496,0.9102,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,365.749,1.5616,1.10975,0.91551,0.41577,0.32026,0.28904,0.1593,1.49001,1.09143,0.91036,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,399.428,1.53683,1.08321,0.91392,0.4248,0.32346,0.28835,0.16244,1.45278,1.08343,0.905,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,433.058,1.52969,1.07968,0.91128,0.42946,0.33746,0.31063,0.17309,1.45341,1.04186,0.9021,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,466.765,1.5165,1.06133,0.91014,0.43136,0.33552,0.30506,0.17066,1.4472,1.04768,0.90272,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,500.571,1.50268,1.05606,0.90534,0.43317,0.34173,0.31112,0.17279,1.42837,1.03926,0.89836,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,535.025,1.51578,1.04856,0.90412,0.45181,0.34108,0.31758,0.1785,1.42083,1.0287,0.89808,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,569.349,1.50049,1.03676,0.90407,0.43558,0.34298,0.31622,0.17838,1.42064,1.0238,0.89544,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,603.717,1.49057,1.02778,0.89995,0.44544,0.3449,0.32032,0.18002,1.42018,1.0242,0.89854,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,637.885,1.488,1.01987,0.90015,0.44878,0.33967,0.31957,0.17961,1.42059,1.0229,0.89852,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,671.874,1.4691,1.01038,0.89948,0.44205,0.34695,0.31641,0.17922,1.41326,1.01555,0.8933,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,705.835,1.46562,1.005,0.89684,0.45005,0.35275,0.32704,0.18655,1.40041,0.9978,0.89331,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,739.842,1.45989,0.99659,0.89441,0.46582,0.34853,0.3308,0.18707,1.40021,0.99882,0.89232,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
